   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
   0.20000000E-02  -0.14445884E+00  -0.14445884E+00  -0.29423640E-03
   0.40000000E-02  -0.28377452E+00  -0.28377452E+00  -0.11720111E-02
   0.60000000E-02  -0.41854932E+00  -0.41854932E+00  -0.26170176E-02
   0.80000000E-02  -0.54937604E+00  -0.54937604E+00  -0.46023664E-02
   0.10000000E-01  -0.67678550E+00  -0.67678550E+00  -0.70924554E-02
   0.12000000E-01  -0.80127702E+00  -0.80127702E+00  -0.10044260E-01
   0.14000000E-01  -0.92341664E+00  -0.92341664E+00  -0.13408544E-01
   0.16000000E-01  -0.10436883E+01  -0.10436883E+01  -0.17131291E-01
   0.18000000E-01  -0.11622827E+01  -0.11622827E+01  -0.21155465E-01
   0.20000000E-01  -0.12796935E+01  -0.12796935E+01  -0.25420080E-01
   0.22000000E-01  -0.13964754E+01  -0.13964754E+01  -0.29862897E-01
   0.24000000E-01  -0.15125653E+01  -0.15125653E+01  -0.34421095E-01
   0.26000000E-01  -0.16287006E+01  -0.16287006E+01  -0.39030026E-01
   0.28000000E-01  -0.17449727E+01  -0.17449727E+01  -0.43626529E-01
   0.30000000E-01  -0.18617576E+01  -0.18617576E+01  -0.48146550E-01
   0.32000000E-01  -0.19794928E+01  -0.19794928E+01  -0.52527569E-01
   0.34000000E-01  -0.20983443E+01  -0.20983443E+01  -0.56707395E-01
   0.36000000E-01  -0.22188922E+01  -0.22188922E+01  -0.60625765E-01
   0.38000000E-01  -0.23412651E+01  -0.23412651E+01  -0.64224401E-01
   0.40000000E-01  -0.24660382E+01  -0.24660382E+01  -0.67447749E-01
   0.42000000E-01  -0.25934691E+01  -0.25934691E+01  -0.70241799E-01
   0.44000000E-01  -0.27240175E+01  -0.27240175E+01  -0.72558326E-01
   0.46000000E-01  -0.28580532E+01  -0.28580532E+01  -0.74351754E-01
   0.48000000E-01  -0.29959628E+01  -0.29959628E+01  -0.75584706E-01
   0.50000000E-01  -0.31380894E+01  -0.31380894E+01  -0.76226179E-01
   0.52000000E-01  -0.32847397E+01  -0.32847397E+01  -0.76254952E-01
   0.54000000E-01  -0.34360920E+01  -0.34360920E+01  -0.75661845E-01
   0.56000000E-01  -0.35922703E+01  -0.35922703E+01  -0.74450329E-01
   0.58000000E-01  -0.37531874E+01  -0.37531874E+01  -0.72639301E-01
   0.60000000E-01  -0.39186419E+01  -0.39186419E+01  -0.70265828E-01
   0.62000000E-01  -0.40881845E+01  -0.40881845E+01  -0.67383333E-01
   0.64000000E-01  -0.42611718E+01  -0.42611718E+01  -0.64060917E-01
   0.66000000E-01  -0.44366940E+01  -0.44366940E+01  -0.60391364E-01
   0.68000000E-01  -0.46136878E+01  -0.46136878E+01  -0.56477806E-01
   0.70000000E-01  -0.47909736E+01  -0.47909736E+01  -0.52433819E-01
   0.72000000E-01  -0.49673359E+01  -0.49673359E+01  -0.48378675E-01
   0.74000000E-01  -0.51416174E+01  -0.51416174E+01  -0.44432310E-01
   0.76000000E-01  -0.53128060E+01  -0.53128060E+01  -0.40710074E-01
   0.78000000E-01  -0.54800932E+01  -0.54800932E+01  -0.37319013E-01
   0.80000000E-01  -0.56429366E+01  -0.56429366E+01  -0.34353531E-01
   0.82000000E-01  -0.58010205E+01  -0.58010205E+01  -0.31893576E-01
   0.84000000E-01  -0.59542611E+01  -0.59542611E+01  -0.30003213E-01
   0.86000000E-01  -0.61027348E+01  -0.61027348E+01  -0.28728011E-01
